2023-11-26 00:27:04,500 | fedadagrad.py:27 | DEBUG | MainThread | FedAdaGrad | Initializing fedadagrad
2023-11-26 00:27:04,500 | fedadam.py:27 | DEBUG | MainThread | FedAdam | Initializing fedadam
2023-11-26 00:27:04,502 | fedyogi.py:27 | DEBUG | MainThread | FedYogi | Initializing fedyogi
2023-11-26 00:27:04,698 | metric_collector.py:52 | DEBUG | Thread-2 | gather_gpu_stats | could not start gpustat.nvml.pynvml; no GPU metrics will be collected
2023-11-26 00:27:05,309 | cmd.py:978 | DEBUG | MainThread | execute | Popen(['git', 'version'], cwd=/home/cc/flame/lib/python/examples/async_cifar10/aggregator, stdin=None, shell=False, universal_newlines=False)
2023-11-26 00:27:05,331 | cmd.py:978 | DEBUG | MainThread | execute | Popen(['git', 'version'], cwd=/home/cc/flame/lib/python/examples/async_cifar10/aggregator, stdin=None, shell=False, universal_newlines=False)
2023-11-26 00:27:05,368 | auth.py:50 | DEBUG | MainThread | find_config_file | Trying paths: ['/home/cc/.docker/config.json', '/home/cc/.dockercfg']
2023-11-26 00:27:05,368 | auth.py:57 | DEBUG | MainThread | find_config_file | No config file found
2023-11-26 00:27:05,415 | scope.py:205 | DEBUG | MainThread | set_new_propagation_context | [Tracing] Create new propagation context: {'trace_id': 'ef3319f59f5d4f00a8e1c249f2356fa1', 'span_id': '95ba62012552e8c7', 'parent_span_id': None, 'dynamic_sampling_context': None}
2023-11-26 00:27:05,556 | cmd.py:978 | DEBUG | MainThread | execute | Popen(['git', 'rev-parse', '--show-toplevel'], cwd=/home/cc/flame, stdin=None, shell=False, universal_newlines=False)
2023-11-26 00:27:05,582 | cmd.py:978 | DEBUG | MainThread | execute | Popen(['git', 'rev-parse', '--show-toplevel'], cwd=/home/cc/flame, stdin=None, shell=False, universal_newlines=False)
2023-11-26 00:27:06,502 | connectionpool.py:1019 | DEBUG | Thread-3 | _new_conn | Starting new HTTPS connection (1): api.wandb.ai:443
2023-11-26 00:27:06,573 | connectionpool.py:474 | DEBUG | Thread-3 | _make_request | https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2023-11-26 00:27:06,608 | connectionpool.py:474 | DEBUG | Thread-3 | _make_request | https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2023-11-26 00:27:06,633 | cmd.py:978 | DEBUG | MainThread | execute | Popen(['git', 'cat-file', '--batch-check'], cwd=/home/cc/flame, stdin=<valid stream>, shell=False, universal_newlines=False)
2023-11-26 00:27:10,978 | __init__.py:58 | WARNING | MainThread | __init__ | /etc/flame/plugin not found; stop plugin registration.
2023-11-26 00:27:10,978 | channel_manager.py:72 | INFO | MainThread | __new__ | creating a ChannelManager instance
2023-11-26 00:27:10,979 | selector_events.py:54 | DEBUG | MainThread | __init__ | Using selector: EpollSelector
2023-11-26 00:27:10,982 | mqtt.py:514 | DEBUG | Thread-5 | on_socket_open | Socket opened
2023-11-26 00:27:10,983 | mqtt.py:531 | DEBUG | Thread-5 | on_socket_register_write | Watching socket for writability.
2023-11-26 00:27:10,984 | mqtt.py:546 | DEBUG | Thread-5 | misc_loop | misc_loop started
2023-11-26 00:27:10,985 | mqtt.py:534 | DEBUG | Thread-5 | cb | Socket is writable, calling loop_write
2023-11-26 00:27:10,985 | channel_manager.py:146 | INFO | MainThread | join | no backend found for channel param-channel; use default
2023-11-26 00:27:10,986 | mqtt.py:541 | DEBUG | Thread-5 | on_socket_unregister_write | Stop watching socket for writability.
2023-11-26 00:27:10,986 | mqtt.py:517 | DEBUG | Thread-5 | cb | Socket is readable, calling loop_read
2023-11-26 00:27:10,987 | mqtt.py:294 | DEBUG | Thread-5 | on_connect | calling on_connect
2023-11-26 00:27:10,988 | mqtt.py:531 | DEBUG | Thread-5 | on_socket_register_write | Watching socket for writability.
2023-11-26 00:27:10,988 | mqtt.py:541 | DEBUG | Thread-5 | on_socket_unregister_write | Stop watching socket for writability.
2023-11-26 00:27:10,989 | mqtt.py:517 | DEBUG | Thread-5 | cb | Socket is readable, calling loop_read
2023-11-26 00:27:10,990 | mqtt.py:517 | DEBUG | Thread-5 | cb | Socket is readable, calling loop_read
2023-11-26 00:27:10,990 | mqtt.py:322 | DEBUG | MainThread | subscribe | subscribe topic: /flame/622a358619ab59012eabeefb/param-channel/default/BROADCAST/trainer/+
2023-11-26 00:27:10,990 | mqtt.py:531 | DEBUG | Thread-5 | on_socket_register_write | Watching socket for writability.
2023-11-26 00:27:10,991 | mqtt.py:322 | DEBUG | MainThread | subscribe | subscribe topic: /flame/622a358619ab59012eabeefb/param-channel/default/UNICAST/trainer/+/aggregator/49d06b7526964db86cf37c70e8e0cdb6bd7aa742
2023-11-26 00:27:10,992 | mqtt.py:534 | DEBUG | Thread-5 | cb | Socket is writable, calling loop_write
2023-11-26 00:27:10,992 | mqtt.py:349 | DEBUG | MainThread | notify | notify: publish topic: /flame/622a358619ab59012eabeefb/param-channel/default/BROADCAST/aggregator/49d06b7526964db86cf37c70e8e0cdb6bd7aa742
2023-11-26 00:27:10,993 | mqtt.py:541 | DEBUG | Thread-5 | on_socket_unregister_write | Stop watching socket for writability.
2023-11-26 00:27:10,993 | mqtt.py:517 | DEBUG | Thread-5 | cb | Socket is readable, calling loop_read
2023-11-26 00:27:10,994 | mqtt.py:306 | DEBUG | Thread-5 | on_message | topic: /flame/622a358619ab59012eabeefb; len: 47
2023-11-26 00:27:10,995 | mqtt.py:206 | DEBUG | Thread-5 | _handle_health_message | end: 49d06b7526964db86cf37c70e8e0cdb6bd7aa742, status: online
2023-11-26 00:27:10,995 | mqtt.py:517 | DEBUG | Thread-5 | cb | Socket is readable, calling loop_read
2023-11-26 00:27:10,996 | mqtt.py:517 | DEBUG | Thread-5 | cb | Socket is readable, calling loop_read
2023-11-26 00:27:11,003 | metric_collector.py:115 | DEBUG | MainThread | save | Saving state_dict[internal_init.runtime] = 0.024973392486572266
2023-11-26 00:27:11,003 | runtime.py:33 | DEBUG | MainThread | wrapper | Runtime of internal_init is 0.024973392486572266
2023-11-26 00:27:11,035 | mqtt.py:517 | DEBUG | Thread-5 | cb | Socket is readable, calling loop_read
2023-11-26 00:27:11,036 | mqtt.py:531 | DEBUG | Thread-5 | on_socket_register_write | Watching socket for writability.
2023-11-26 00:27:11,037 | mqtt.py:534 | DEBUG | Thread-5 | cb | Socket is writable, calling loop_write
2023-11-26 00:27:11,037 | mqtt.py:541 | DEBUG | Thread-5 | on_socket_unregister_write | Stop watching socket for writability.
2023-11-26 00:27:11,037 | mqtt.py:517 | DEBUG | Thread-5 | cb | Socket is readable, calling loop_read
Files already downloaded and verified
2023-11-26 00:27:11,860 | metric_collector.py:115 | DEBUG | MainThread | save | Saving state_dict[load_data.runtime] = 0.8570065498352051
2023-11-26 00:27:11,861 | runtime.py:33 | DEBUG | MainThread | wrapper | Runtime of load_data is 0.8570065498352051
2023-11-26 00:27:13,341 | metric_collector.py:115 | DEBUG | MainThread | save | Saving state_dict[initialize.runtime] = 1.4789495468139648
2023-11-26 00:27:13,341 | runtime.py:33 | DEBUG | MainThread | wrapper | Runtime of initialize is 1.4789495468139648
2023-11-26 00:27:13,341 | top_aggregator.py:58 | DEBUG | MainThread | _reset_agg_goal_variables | ##### reset agg goal variables
2023-11-26 00:27:13,342 | top_aggregator.py:64 | DEBUG | MainThread | _reset_agg_goal_variables | ##### reset _agg_goal_cnt:0, _agg_goal_weights:None
2023-11-26 00:27:13,342 | metric_collector.py:115 | DEBUG | MainThread | save | Saving state_dict[reset_agg_goal_vars.runtime] = 0.0002827644348144531
2023-11-26 00:27:13,342 | runtime.py:33 | DEBUG | MainThread | wrapper | Runtime of reset_agg_goal_vars is 0.0002827644348144531
2023-11-26 00:27:13,342 | channel_manager.py:170 | DEBUG | MainThread | get_by_tag | distribute through param-channel
2023-11-26 00:27:13,343 | channel.py:435 | DEBUG | Thread-5 | _inner | waiting for join
2023-11-26 00:27:26,213 | mqtt.py:517 | DEBUG | Thread-5 | cb | Socket is readable, calling loop_read
2023-11-26 00:27:26,214 | mqtt.py:306 | DEBUG | Thread-5 | on_message | topic: /flame/622a358619ab59012eabeefb; len: 47
2023-11-26 00:27:26,215 | mqtt.py:206 | DEBUG | Thread-5 | _handle_health_message | end: 505f9fc483cf4df68a2409257b5fad7d3c580375, status: online
2023-11-26 00:27:26,240 | mqtt.py:517 | DEBUG | Thread-5 | cb | Socket is readable, calling loop_read
2023-11-26 00:27:26,241 | mqtt.py:306 | DEBUG | Thread-5 | on_message | topic: /flame/622a358619ab59012eabeefb; len: 47
2023-11-26 00:27:26,242 | mqtt.py:206 | DEBUG | Thread-5 | _handle_health_message | end: 505f9fc483cf4df68a2409257b5fad7d3c580377, status: online
2023-11-26 00:27:26,246 | mqtt.py:517 | DEBUG | Thread-5 | cb | Socket is readable, calling loop_read
2023-11-26 00:27:26,247 | mqtt.py:306 | DEBUG | Thread-5 | on_message | topic: /flame/622a358619ab59012eabeefb; len: 47
2023-11-26 00:27:26,248 | mqtt.py:206 | DEBUG | Thread-5 | _handle_health_message | end: 505f9fc483cf4df68a2409257b5fad7d3c580373, status: online
2023-11-26 00:27:26,257 | mqtt.py:517 | DEBUG | Thread-5 | cb | Socket is readable, calling loop_read
2023-11-26 00:27:26,258 | mqtt.py:531 | DEBUG | Thread-5 | on_socket_register_write | Watching socket for writability.
2023-11-26 00:27:26,258 | mqtt.py:534 | DEBUG | Thread-5 | cb | Socket is writable, calling loop_write
2023-11-26 00:27:26,259 | mqtt.py:541 | DEBUG | Thread-5 | on_socket_unregister_write | Stop watching socket for writability.
2023-11-26 00:27:26,259 | mqtt.py:517 | DEBUG | Thread-5 | cb | Socket is readable, calling loop_read
2023-11-26 00:27:26,260 | mqtt.py:306 | DEBUG | Thread-5 | on_message | topic: /flame/622a358619ab59012eabeefb/param-channel/default/BROADCAST/trainer/505f9fc483cf4df68a2409257b5fad7d3c580375; len: 97
2023-11-26 00:27:26,260 | mqtt.py:531 | DEBUG | Thread-5 | on_socket_register_write | Watching socket for writability.
2023-11-26 00:27:26,261 | mqtt.py:275 | DEBUG | Thread-5 | _rx_task | _rx_task - topic: /flame/622a358619ab59012eabeefb/param-channel/default/BROADCAST/trainer/505f9fc483cf4df68a2409257b5fad7d3c580375; len: 97
2023-11-26 00:27:26,261 | mqtt.py:234 | DEBUG | Thread-5 | _handle_notification | acknowledge notification
2023-11-26 00:27:26,262 | mqtt.py:349 | DEBUG | Thread-5 | notify | notify: publish topic: /flame/622a358619ab59012eabeefb/param-channel/default/BROADCAST/aggregator/49d06b7526964db86cf37c70e8e0cdb6bd7aa742
2023-11-26 00:27:26,262 | mqtt.py:534 | DEBUG | Thread-5 | cb | Socket is writable, calling loop_write
2023-11-26 00:27:26,263 | mqtt.py:541 | DEBUG | Thread-5 | on_socket_unregister_write | Stop watching socket for writability.
2023-11-26 00:27:26,263 | channel.py:441 | DEBUG | Thread-5 | _inner | at least one peer joined
2023-11-26 00:27:26,264 | channel.py:445 | DEBUG | MainThread | await_join | timeouted = False
2023-11-26 00:27:26,266 | fedbuff.py:63 | DEBUG | Thread-5 | select | calling fedbuff select
2023-11-26 00:27:26,266 | fedbuff.py:64 | DEBUG | Thread-5 | select | len(ends): 1, c: 5
2023-11-26 00:27:26,267 | fedbuff.py:99 | DEBUG | Thread-5 | _cleanup_recvd_ends | clean up recvd ends
2023-11-26 00:27:26,267 | fedbuff.py:100 | DEBUG | Thread-5 | _cleanup_recvd_ends | ends: dict_keys(['505f9fc483cf4df68a2409257b5fad7d3c580375'])
2023-11-26 00:27:26,268 | fedbuff.py:101 | DEBUG | Thread-5 | _cleanup_recvd_ends | selected ends: {'49d06b7526964db86cf37c70e8e0cdb6bd7aa742': set()}
2023-11-26 00:27:26,268 | fedbuff.py:126 | INFO | Thread-5 | _handle_send_state | c: 1, ends: dict_keys(['505f9fc483cf4df68a2409257b5fad7d3c580375'])
2023-11-26 00:27:26,269 | fedbuff.py:155 | DEBUG | Thread-5 | _handle_send_state | candidates: ['505f9fc483cf4df68a2409257b5fad7d3c580375'], all_selected: {'505f9fc483cf4df68a2409257b5fad7d3c580375'}
