Timestamp,Tag,Source,Destination
1700958449.1910071,fetch,trainer8,aggregator
1700958450.6334784,sending,aggregator,trainer8
1700958452.55699,upload,trainer8,aggregator
1700958452.6119597,fetch,trainer8,aggregator
1700958458.909975,received,aggregator,trainer8
1700958458.9455886,sending,aggregator,trainer8
1700958460.352715,upload,trainer8,aggregator
1700958460.399438,fetch,trainer8,aggregator
1700958465.649763,received,aggregator,trainer8
1700958472.41828,sending,aggregator,trainer8
1700958473.9318173,upload,trainer8,aggregator
1700958473.987003,fetch,trainer8,aggregator
1700958485.1364565,received,aggregator,trainer8
1700958511.60404,sending,aggregator,trainer8
1700958512.984382,upload,trainer8,aggregator
1700958513.0304697,fetch,trainer8,aggregator
1700958518.3942509,received,aggregator,trainer8
1700958524.8783743,sending,aggregator,trainer8
1700958526.2562573,upload,trainer8,aggregator
1700958526.3035305,fetch,trainer8,aggregator
1700958531.379002,received,aggregator,trainer8
1700958544.8525236,sending,aggregator,trainer8
1700958546.2686956,upload,trainer8,aggregator
1700958546.3148165,fetch,trainer8,aggregator
1700958551.6780856,received,aggregator,trainer8
1700958577.85242,sending,aggregator,trainer8
1700958579.2698872,upload,trainer8,aggregator
1700958579.3249114,fetch,trainer8,aggregator
1700958591.205632,received,aggregator,trainer8
1700958604.55371,sending,aggregator,trainer8
1700958605.9968803,upload,trainer8,aggregator
1700958606.0448945,fetch,trainer8,aggregator
1700958617.5842068,received,aggregator,trainer8
1700958631.2292328,sending,aggregator,trainer8
1700958632.6941109,upload,trainer8,aggregator
1700958632.7539313,fetch,trainer8,aggregator
1700958644.795105,received,aggregator,trainer8
1700958657.3914528,sending,aggregator,trainer8
1700958658.823177,upload,trainer8,aggregator
1700958658.8746915,fetch,trainer8,aggregator
1700958670.3205712,received,aggregator,trainer8
1700958670.4327738,sending,aggregator,trainer8
1700958671.586104,upload,trainer8,aggregator
1700958671.6333747,fetch,trainer8,aggregator
1700958677.3383808,received,aggregator,trainer8
1700958690.1682343,sending,aggregator,trainer8
1700958691.6471295,upload,trainer8,aggregator
1700958691.685493,fetch,trainer8,aggregator
1700958696.8998804,received,aggregator,trainer8
1700958703.5277858,sending,aggregator,trainer8
1700958704.924739,upload,trainer8,aggregator
1700958704.9724216,fetch,trainer8,aggregator
1700958710.316421,received,aggregator,trainer8
1700958716.9261608,sending,aggregator,trainer8
1700958718.4463768,upload,trainer8,aggregator
1700958718.4995456,fetch,trainer8,aggregator
1700958723.6563408,received,aggregator,trainer8
1700958730.125389,sending,aggregator,trainer8
1700958731.330042,upload,trainer8,aggregator
1700958731.3854802,fetch,trainer8,aggregator
1700958736.2645645,received,aggregator,trainer8
1700958749.4198575,sending,aggregator,trainer8
1700958750.862502,upload,trainer8,aggregator
1700958750.9081242,fetch,trainer8,aggregator
1700958762.9824684,received,aggregator,trainer8
1700958763.096658,sending,aggregator,trainer8
1700958764.4094589,upload,trainer8,aggregator
1700958764.4599822,fetch,trainer8,aggregator
1700958769.6498058,received,aggregator,trainer8
1700958776.166989,sending,aggregator,trainer8
1700958777.5648162,upload,trainer8,aggregator
1700958777.6096911,fetch,trainer8,aggregator
